,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
128,15/2/24,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fall Army Worm of Maize,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.,Adaptation Clinic,22/02/2024
129,18/2/24,Nilganj Adaptation Clinic,Islampur,Nilganj,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.,Farmers Field,27/02/2024
130,18/2/24,Nilganj Adaptation Clinic,Nabipur,Nilganj,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.,Farmers Field,27/02/2024
131,19/2/24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,27/02/2024
132,19/2/24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,27/02/2024
133,19/2/24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,-,Kharif-1 vegetable cultivation plan,Farmers Field,27/02/2024
134,19/2/24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,27/02/2024
135,19/2/24,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Cutworm of Sunflower,Emamectin Benzoate group insecticide should be mixed at the rate of 10 gm per 10 liters of water and spray.,Farmers Field,27/02/2024
136,20/2/24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,Advice on cucumber plant care.,Farmers Field,28/02/2024
137,20/2/24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,Advice on cucumber plant care.,Farmers Field,28/02/2024
138,20/2/24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,Advice on Pumkin plant care.,Farmers Field,28/02/2024
139,25/2/24,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Adaptation Clinic,04-03-2024
140,27/2/24,Nilganj Adaptation Clinic,Purbo Amirabad,Nilganj,Downy Mildew of Cucumber,Pyraclostrobin 5% + Metiram 55% group fungicide should be mixed at the rate of 30 grams per 10 liters of water and sprayed well.,Adaptation Clinic,06-03-2024
141,29-02-24,Nilganj Adaptation Clinic,Adampur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,07-03-2024
142,29-02-24,Nilganj Adaptation Clinic,Adampur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,07-03-2024
143,29-02-24,Nilganj Adaptation Clinic,Islampur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,07-03-2024
144,29-02-24,Nilganj Adaptation Clinic,Purbo Amirabad,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,07-03-2024
145,04-03-2024,Nilganj Adaptation Clinic,Purbo Amirabad,Nilganj,Leaf Rust of Yard Long Bean,Propiconazole group fungicides mixed at 0.5 ml per liter of water spray in the late afternoon.,Farmers Field,12-03-2024
146,04-03-2024,Nilganj Adaptation Clinic,Purbo Mostafapur,Nilganj,Cucumber whitefly insect,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Farmers Field,12-03-2024
147,04-03-2024,Nilganj Adaptation Clinic,Purbo Mostafapur,Nilganj,Leaf Miner of Snake Gourd,Cypermethrin group insecticide should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.,Farmers Field,12-03-2024
148,04-03-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,12-03-2024
149,04-03-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,The 2nd top dress of urea fertilizer and irrigation should be applied.,Farmers Field,12-03-2024
150,04-03-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,12-03-2024
151,05-03-2024,Nilganj Adaptation Clinic,Islampur,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,15-03-2024
152,05-03-2024,Nilganj Adaptation Clinic,Islampur,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,15-03-2024
153,10-03-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,25-03-2024
154,10-03-2024,Nilganj Adaptation Clinic,Islampur,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,25-03-2024
155,10-03-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Farmers Field,25-03-2024
156,14-03-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,30-03-2024
157,14-03-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,30-04-2023
158,25-03-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
159,25-03-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
160,25-03-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
161,27-03-2024,Nilganj Adaptation Clinic,Gotabacha,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
162,27-03-2024,Nilganj Adaptation Clinic,Islampur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
163,27-03-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
164,27-03-2024,Nilganj Adaptation Clinic,Islampur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
165,27-03-2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,10-04-2024
166,31-03-2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.,Farmers Field,15-04-2024
167,31-03-2024,Nilganj Adaptation Clinic,Akkelpur,Nilganj,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.,Farmers Field,15-04-2024
168,31-03-2024,Nilganj Adaptation Clinic,Akkelpur,Nilganj,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.,Farmers Field,15-04-2024
169,04-04-2024,Nilganj Adaptation Clinic,Hajipur,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,15-04-2024
170,04-04-2024,Nilganj Adaptation Clinic,Mojid baria,Nilganj,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.,Farmers Field,15-04-2024
171,16-04-2024,Nilganj Adaptation Clinic,Dokhin Doulatpur,Nilganj,Leaf Blight of Rice,Spray Tricycozol and cupperoxicloride fungicide at 2ml/ l in the afternoon,Farmers Field,25-04-2024
172,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
173,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
174,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
175,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
176,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
177,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
178,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
179,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
180,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
181,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
182,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
183,22/04/2024,Nilganj Adaptation Clinic,Faridganj,Nilganj,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.,Farmers Field,02-05-2024
184,24/04/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly.",Adaptation Clinic,05-05-2024
185,24/04/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly.",Adaptation Clinic,05-05-2024
186,24/04/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly.",Adaptation Clinic,05-05-2024
187,24/04/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly.",Adaptation Clinic,05-05-2024
188,24/04/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly.",Adaptation Clinic,05-05-2024
